,,,CONFIDENCE,DESIGN,DEFECT,DOC,REQ,TEST,UNKNOWN,,DESIGN,DEFECT,DOC,REQ,TEST,UNKNOWN
todo check return value,UNKNOWN,DESIGN,648,1,,,,,,,,,,,,1
todo check return value,UNKNOWN,DESIGN,648,1,,,,,,,,,,,,1
todo check return value,UNKNOWN,DESIGN,648,1,,,,,,,,,,,,1
todo use multiple loaders with fall-back and transaction.,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
logical choice for what shortcut should be used for that intent exists then it is,UNKNOWN,DESIGN,999,1,,,,,,,1,,,,,
todo need to check return value,UNKNOWN,DESIGN,817,1,,,,,,,,,,1,,
todo we need to take widthgap into effect,UNKNOWN,DESIGN,896,,,,,,1,,,,,1,,
todo we need to take heightgap into effect,UNKNOWN,DESIGN,896,,,,,,1,,,,,1,,
(its the same view in that case). this is not ideal but to prevent more changes,UNKNOWN,DESIGN,584,1,,,,,,,1,,,,,
xxx review this,UNKNOWN,DESIGN,701,1,,,,,,,1,,,,,
todo need to figure out rules for sorting,UNKNOWN,DESIGN,737,,,,,,1,,,,,1,,
todo need to figure out rules for sorting,UNKNOWN,DESIGN,737,,,,,,1,,,,,1,,
xxx review this,UNKNOWN,DESIGN,701,1,,,,,,,1,,,,,
todo we need to make sure that this accounts for the options bundle.,UNKNOWN,DESIGN,896,,,,,1,,,,,,,1,
we need to hide side pages of the apps / widget tray to avoid some ugly edge cases,UNKNOWN,DESIGN,762,,,,1,,,,,1,,,,
exitspringloadeddragmode made it visible. this is a bit hacky we should,UNKNOWN,DESIGN,555,1,,,,,,,1,,,,,
exitspringloadeddragmode made it visible. this is a bit hacky we should,UNKNOWN,DESIGN,555,1,,,,,,,1,,,,,
todo fix collision case,UNKNOWN,DESIGN,980,,,,1,,,,,,,1,,
todo consider showing a permission dialog when the widget is clicked.,UNKNOWN,DESIGN,844,,,,1,,,,,,,1,,
todo initial wallpaper now that wallpapers are owned by another app,UNKNOWN,DESIGN,566,,,,,,1,,,,,1,,
xxx we should find a better way to hook into this before the view,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
xxx we should find a better way to hook into this before the view,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
xxx we should find a better way to hook into this before the view,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
exceed). used to find out how much extra wallpaper we need for the over scroll effect,UNKNOWN,DESIGN,921,,,,,,1,,,,,,,1
todo make this decision more intelligent.,UNKNOWN,DESIGN,988,1,,,,,,,1,,,,,
this is a gigantic hack but unfortunately the only way to resolve an fd,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
xxx do we need to update lm workspace screens below?,UNKNOWN,DESIGN,866,,,,1,,,,1,,,,,
todo this branch occurs when the workspace is adding views,UNKNOWN,DESIGN,796,,,,,,1,,,,,,,1
todo do different behavior if its a live wallpaper?,UNKNOWN,DESIGN,731,,,,1,,,,,,,,1,
/ maybe move this into a smaller part,UNKNOWN,DESIGN,953,1,,,,,,,1,,,,,
could not find a default activity. remove this item.,UNKNOWN,DESIGN,598,1,,,,,,,1,,,,,
could not find a default activity. remove this item.,UNKNOWN,DESIGN,598,1,,,,,,,1,,,,,
todo do different behavior if its a live wallpaper?,UNKNOWN,DESIGN,731,,,,,,1,,,,,1,,
todo notify,UNKNOWN,DESIGN,697,,,,,,1,,,,,1,,
todo notify,UNKNOWN,DESIGN,697,,,,,,1,,,,,1,,
todo notification,UNKNOWN,DESIGN,773,,,,,,1,,,,,1,,
todo notification,UNKNOWN,DESIGN,773,,,,,,1,,,,,1,,
todo notify & write state to info file,UNKNOWN,DESIGN,624,,,,1,,,,,,,1,,
todo retry count limit & notify error,UNKNOWN,DESIGN,588,,,,1,,,,,,,1,,
referential equality cant think of a better way to do this,UNKNOWN,DESIGN,941,1,,,,,,,1,,,,,
todo better than this,UNKNOWN,DESIGN,996,1,,,,,,,1,,,,,
subscriber count changes very often making this check almost unnecessary.,UNKNOWN,DESIGN,694,1,,,,,,,1,,,,,
subscriber count changes very often making this check almost unnecessary.,UNKNOWN,DESIGN,694,1,,,,,,,1,,,,,
unfortunately these queries must be hardcoded due to the possibility of schema and names changing at a later date thus invalidating the older migration scripts if they are not hardcoded.,UNKNOWN,DESIGN,954,1,,,,,,,1,,,,,
todo no way to tell if search has more items in the moment,UNKNOWN,DESIGN,916,,,,1,,,,,,,1,,
todo this along with other download types in namecolumnparser,UNKNOWN,DESIGN,798,,,,,,1,,,,,1,,
todo order this,UNKNOWN,DESIGN,646,1,,,,,,,1,,,,,
todo we could directory use androids downloadmanager.class,UNKNOWN,DESIGN,928,,,,,,1,,1,,,,,
todo do reddit apps recognize a specific message intent?,UNKNOWN,DESIGN,572,,,,1,,,,,,,,1,
todo more parsing of different types,UNKNOWN,DESIGN,897,,,,1,,,,,,,1,,
todo allow addition column,UNKNOWN,DESIGN,688,,,,1,,,,,,,1,,
hack for custom dialog to allow for edittext filters,UNKNOWN,DESIGN,959,1,,,,,,,1,,,,,
tinput.requestfocus() todo,UNKNOWN,DESIGN,616,,,,1,,,,,,,1,,
todo use api level 24 or above to correct this,UNKNOWN,DESIGN,1.000,1,,,,,,,1,,,,,
todo fix selection rendering on scrolling,UNKNOWN,DESIGN,986,,,,1,,,,,1,,,,
todo remove on drop of api 19 support,UNKNOWN,DESIGN,993,1,,,,,,,1,,,,,
todo this is not great throw an ise instead?,UNKNOWN,DESIGN,996,1,,,,,,,1,,,,,
todo this is not great throw an ise instead?,UNKNOWN,DESIGN,996,1,,,,,,,1,,,,,
todo escape handling needs more work,UNKNOWN,DESIGN,996,1,,,,,,,1,,,,,
todo is this correct?,UNKNOWN,DESIGN,993,1,,,,,,,,,,,1,
todo is this correct? do tabs need to be escaped?,UNKNOWN,DESIGN,999,1,,,,,,,,,,,1,
todo is this correct?,UNKNOWN,DESIGN,993,1,,,,,,,,,,,1,
TOTAL,,,,,,,,,,,45,5,0,26,7,
